bn:00000013n;Million;million_209.35;number_146.31;mathematics_61.3;long scale_53.31;real number_50.43;numeral_50.35;short scale_50.12;digit_42.17;bally_41.77;millionaire_41.31;penguin_41.11;markov_40.61;complex number_38.37;infinity_36.79
bn:00002883n;Alliteration;rhyme_608.6;word_516.61;alliteration_426.67;poetry_378.89;proverb_362.67;poem_264.6;syllable_253.24;sound_189.85;alliterative_160.05;verse_144.83;example_131.82;old english_121.37;poet_115.94;language_113.21
bn:00002891n;Onion;onion_1702.68;bulb_505.18;garlic_483.35;shallot_234.68;allium_190.69;plant_156.99;cepa_119.28;allium cepa_108.29;a._85.42;scallion_83.98;grow_81.25;cataphyll_74.5;leek_66.28;dish_65.93
bn:00002898n;Leek;leek_485.56;dish_443.12;onion_419.62;vegetable_397.26;soup_366.9;garlic_345.83;welsh_317.44;wales_259.85;meat_252.14;cuisine_220.93;rice_149.33;cook_147.36;potato_124.81;ingredient_124.3
bn:00002899n;Garlic;garlic_1683.38;onion_496.84;bulb_407.39;allicin_191.01;allium_157.25;plant_137.75;shallot_134.31;clove_120.51;diallyl_119.03;compound_101.86;sauce_76.81;disulfide_75.82;chive_67.9;flavor_66.66
bn:00002900n;Chives;dish_372.24;garlic_359.05;tomato_262.42;onion_199.13;chive_176.11;cuisine_157.77;bulb_147.43;snail_131.35;sauce_130.85;vegetable_130.83;meat_127.39;soup_118.09;potato_117.23;pork_109.83
bn:00002921n;Allometry;ostrich_184.86;organism_178.55;dinosaur_164.38;size_160.47;allometry_159.88;animal_155.35;allometric_137.0;brain_127.44;metabolic rate_108.89;specie_105.93;body_95.85;mass_91.45;insect_83.81;dingo_81.82
bn:00002936n;Alloy;alloy_2656.94;metal_1276.19;copper_805.6;zinc_638.93;iron_612.49;nickel_459.91;solder_439.01;magnesium_426.24;steel_400.25;aluminium_332.13;use_303.31;titanium_292.29;tin_286.57;bismuth_263.26
bn:00002939n;Allspice;spice_431.59;meat_400.56;sausage_346.66;dish_345.58;flavor_243.89;allspice_233.34;cuisine_200.78;ingredient_170.68;dry_163.59;cook_147.97;onion_140.01;vegetable_133.81;cinnamon_123.16;tree_122.55
bn:00002946n;Allusion;allusion_192.51;rhetoric_170.63;shakespeare_161.19;finnegans_88.42;bechdel_87.3;poem_73.58;literary_67.16;hce_66.41;rhetorical_64.93;joyce_63.93;marsyas_61.74;speech_58.99;sequel_51.0;word_50.05
bn:00002952n;Sedimentation;particle_678.27;sedimentation_396.85;sediment_260.63;water_174.51;equipartition_162.11;foul_142.68;centrifugal force_135.25;centrifuge_134.57;colloid_134.43;erosion_129.49;colloidal_107.11;force_105.44;velocity_99.0;fluid_98.8
bn:00002954n;Flood;flood_3617.03;flooding_902.17;river_536.79;water_416.91;rain_299.99;damage_244.13;cause_216.91;rainfall_176.85;heavy_157.11;flash flood_149.57;levee_146.29;affect_143.7;area_136.78;storm_131.54
bn:00002963n;Almanac;almanac_680.01;astronomical_118.81;biff_116.58;ephemeris_81.57;astronomy_80.38;calendar_72.82;astronomer_60.19;nautical_53.8;mônica_53.07;arabic_49.35;houry_46.23;d'houry_44.76;moon_41.68;almanacs_39.8
bn:00002967n;Almond;almond_1225.27;nut_345.9;fruit_163.08;marzipan_140.52;chestnut_132.72;magnum_120.95;pistachio_108.18;seed_106.09;tree_101.75;pine nut_98.5;bitter almond_94.65;chocolate_93.14;walnut_86.26;sweet_77.09
bn:00002978n;Alms;alms_212.24;eid_188.87;fast_151.91;jesus_147.72;prayer_113.33;maundy_104.61;mosque_102.67;al-fitr_96.0;zakat_83.74;gift_83.28;altruism_68.25;poor_63.68;monk_61.5;god_60.57
bn:00002996n;Aloe;aloe_1984.84;succulent_248.0;plant_247.24;aloe vera_221.39;lavranos_165.34;reynolds_150.94;flower_144.66;specie_133.39;agave_128.33;species_94.13;a._80.57;south africa_74.14;rosette_73.09;l.e._71.51
bn:00003001n;Ciao;pronounce_230.25;italian_193.47;portuguese_192.94;spanish_157.8;word_136.05;ciao_121.23;vowel_101.93;aloha_91.42;shalom_89.04;goodbye_83.92;hello_79.22;language_75.46;peace_74.91;i_70.18
bn:00003023n;Alpaca;alpaca_1001.98;dingo_554.7;llama_542.86;yarn_351.21;fiber_348.09;knit_227.4;wool_178.96;camel_153.54;guanaco_143.76;animal_142.26;crochet_137.6;stitch_136.47;quipu_131.07;vicuña_130.05
bn:00003026n;Alpha;letter_629.0;alpha_597.43;alphabet_292.5;vowel_281.88;ahd_271.36;greek_242.0;selector_213.19;sampi_209.5;phoenician_167.31;omega_157.8;greek alphabet_147.52;symbol_134.97;mw_130.16;use_121.38
bn:00003060n;Collation;letter_818.62;vowel_430.31;word_405.67;alphabet_381.97;sort_372.92;dictionary_330.62;character_328.51;unicode_326.62;use_323.97;digraph_296.06;ligature_286.7;collation_270.17;diacritic_245.71;kanji_219.65
bn:00003061n;Alphanumeric;keyboard_272.14;password_261.45;code_256.21;character_221.62;key_209.26;layout_208.06;use_197.44;digit_171.34;alphanumeric_170.93;postcode_157.63;letter_154.08;encode_152.6;number_146.16;bre_124.77
bn:00003084n;Pellagra;vitamin_619.9;pellagra_556.0;deficiency_523.26;niacin_459.02;maize_439.04;food_256.69;dementia_234.98;disease_212.06;diet_198.49;nutrition_180.88;scurvy_155.47;nutrient_154.55;folate_151.62;syndrome_137.93
bn:00003121n;Altarpiece;altarpiece_921.97;panel_406.71;altar_286.88;reredos_215.86;church_154.7;painting_148.58;cathedral_132.45;hitch_114.6;retable_100.91;chapel_98.45;image_87.6;paint_80.27;figure_74.46;christ_70.53
bn:00003137n;Alternator;alternator_941.56;generator_730.79;voltage_616.42;rotor_538.05;power_527.82;motor_455.14;armature_364.55;current_325.78;coil_310.34;winding_287.97;ac_284.6;stator_284.43;magnetic field_242.23;commutator_240.8
bn:00003141n;Altimeter;aircraft_817.4;altimeter_685.92;altitude_573.2;pressure_449.7;flight_350.96;radar_258.18;measure_201.68;measurement_186.42;instrument_174.43;pilot_172.33;sea level_161.27;mirage_155.43;airspeed_142.04;atmospheric pressure_133.09
bn:00003142n;Altitude;altitude_1125.48;sea level_273.36;altimeter_191.06;oxygen_143.3;height_132.43;pressure_121.69;atmosphere_114.26;ft_110.13;high_109.97;elevation_106.57;temperature_104.47;atmospheric pressure_96.19;geopotential_87.49;aircraft_82.85
bn:00003158n;Altruism;altruism_863.61;behavior_796.52;moral_471.89;individual_403.46;altruistic_399.19;social_296.12;evolutionary_287.5;conscience_260.72;theory_246.59;prosocial_192.17;kin_180.51;benefit_166.99;morality_153.96;psychology_141.95
bn:00003165n;Alum;alum_749.15;aluminium_376.9;alkali metal_313.33;caesium_298.37;sulfate_271.22;dye_259.06;chromium_199.06;water_153.6;salt_147.75;metal_144.3;use_132.81;potassium_132.51;fluoride_131.1;ion_127.52
bn:00003189n;Alyssum;alyssum_88.25;genus_75.04;orchid_69.95;spp_62.64;orthonama_58.94;plant_58.29;brassicaceae_57.1;verticillium_47.62;lobularia maritima_44.71;flower_41.29;hoverflies_34.11;al-shehbaz_34.1;lobularia_33.98;aurinia_31.71
bn:00003194n;Americium;plutonium_1244.15;isotope_1160.81;americium_926.82;neutron_887.03;actinide_835.06;thorium_809.49;element_745.82;uranium_667.86;neptunium_642.54;curium_613.79;reactor_493.54;decay_471.54;fission_466.27;fuel_454.86
bn:00003200n;Maid;maid_625.4;domestic_310.88;butler_183.76;worker_169.93;servant_136.97;scullery_94.05;meldrum_87.67;household_81.64;nanny_74.14;footman_68.61;lady_66.63;migrant_66.4;employer_65.94;vermeer_63.96
bn:00003211n;Blusher;mushroom_317.0;amanita_309.55;death cap_86.22;specie_82.03;cap_75.66;fungus_75.59;edible_71.28;lepidella_63.92;a._62.78;blusher_57.82;edulis_49.69;porcini_47.88;amanita rubescens_47.26;north america_41.81
bn:00003215n;Amaranth;amaranth_836.04;seed_326.63;maize_254.83;potato_251.4;plant_237.6;flour_209.25;amaranthus_203.37;vegetable_203.02;food_200.25;dish_180.67;rice_140.01;grain_131.48;quinoa_124.79;poppy seed_115.78
bn:00003221n;Pigweed;amaranth_402.53;amaranthus_95.53;pigweed_65.41;plant_50.19;seed_28.3;allelopathy_25.11;marvell_23.6;mulligan stew_22.0;grain_21.04;specie_20.8;phytotransformation_20.07;amaranthus caudatus_19.39;phytoremediation_19.23;phytoextraction_18.36
bn:00003225n;Amaretto;liqueur_454.95;amaretto_366.74;apricot_164.62;bols_139.4;flavor_94.94;macaron_75.32;bacardi_72.75;disaronno_64.04;herb_61.93;vodka_60.32;almond_58.45;ingredient_56.11;cocktail_54.59;saronno_51.78
bn:00003228n;Amaryllis;bulb_447.87;narcissus_380.85;hippeastrum_352.86;amaryllis_279.99;flower_212.6;plant_188.97;genus_135.82;specie_109.87;langtry_91.21;daffodil_88.57;hybrid_88.55;orchid_77.19;n._72.72;amaryllidaceae_71.84
bn:00003233n;Amateur;amateur_937.16;safa_233.65;sfa_163.95;athlete_141.95;golf_129.45;professional_100.61;competition_91.92;amateurization_90.69;ouimet_86.9;club_84.4;championship_72.78;cup_71.77;sport_67.03;event_61.43
bn:00003249n;Circumlocution;word_249.32;euphemism_170.18;circumlocution_80.16;gujarati_74.36;language_62.95;kenning_55.84;example_52.26;phrase_50.93;anomia_46.4;term_46.25;use_44.44;circumlocutory_39.8;meaning_38.3;speech_34.72
bn:00003251n;Ambassador;ambassador_984.9;gromyko_511.26;diplomat_97.13;plenipotentiary_82.31;diplomatic_57.63;extraordinary_53.69;embassy_41.98;non-resident_40.94;minister plenipotentiary_39.24;united states_37.2;credential_36.22;country_36.17;appoint_33.94;soviet_29.59
bn:00003256n;Amber;amber_583.23;pearl_220.58;resin_194.71;jewellery_185.46;pytheas_157.55;latvia_121.95;jewelry_83.03;rosin_77.45;baltic_66.83;latvian_53.97;gemstone_50.52;mineral_46.01;strabo_41.46;ittars_37.38
bn:00003262n;Ambergris;ambergris_467.68;sperm whale_465.52;whale_398.96;perfume_284.31;amber_212.26;fragrance_124.0;giant squid_114.88;whaling_106.81;nantucket_104.41;musk_91.69;spermaceti_87.63;scent_75.17;pomander_74.89;resin_60.43
bn:00003266n;Ambiguity;word_381.6;ambiguity_372.88;language_321.22;meaning_279.77;ambiguous_206.2;example_199.2;sentence_197.31;parse_189.78;parser_125.2;euphemism_123.11;context_120.76;machine translation_112.94;translation_108.75;fuzzy_106.57
bn:00003271n;Ambivalence;ambivalence_534.27;attitude_184.52;dissonance_160.05;ambivalent_114.49;cognitive_73.97;feeling_72.04;freud_71.55;negative_70.54;object_66.0;positive_62.22;theory_60.97;behavior_57.69;people_57.26;individual_52.99
bn:00003286n;Ambrosia;achilles_328.56;ambrosia_227.5;dionysus_166.74;god_163.58;zeus_133.8;psyche_131.43;immortality_130.74;thetis_118.93;myth_104.55;soma_90.22;cupid_89.72;thespis_88.92;hera_79.04;nectar_76.43
bn:00003295n;Ambulance;ambulance_4326.39;emergency_1366.59;paramedic_889.52;service_839.5;patient_730.53;vehicle_711.74;ems_594.07;medical_474.43;care_435.69;paramedics_357.0;transport_353.14;hospital_270.1;provide_256.92;triage_226.97
bn:00003299n;Ambulatory;cathedral_1004.91;church_399.43;gothic_339.34;ambulatory_314.58;chapel_299.85;nave_289.17;transept_210.06;century_165.24;choir_159.18;tower_145.2;apse_144.0;window_135.09;cloister_131.57;romanesque_131.07
bn:00003300n;Ambush;ambush_612.68;enemy_334.15;guerrilla_261.12;force_257.41;attack_225.67;tactic_182.96;hannibal_179.54;infantry_159.84;troop_142.89;soldier_139.79;warfare_131.39;kill zone_129.52;ira_125.83;unit_117.73
bn:00003309n;Amoeba;amoeba_687.97;cell_489.3;organism_252.02;amoeboid_205.7;archaea_193.24;phagocyte_176.72;protist_163.14;discoideum_115.92;phagocytosis_103.56;protozoon_102.52;bacterium_99.66;pseudopods_96.07;trichoplax_91.3;slime mold_86.37
bn:00003314n;Emir;emir_783.9;title_286.1;prince_209.78;amir_167.39;ruler_155.66;mirza_112.19;muslim_110.71;sultan_105.03;osman_97.16;ibn_96.7;emirate_81.92;caliph_76.59;king_75.65;khan_66.59
bn:00003322n;Betterment;appraisal_100.91;value_83.08;appraiser_75.22;valuation_74.53;property_70.24;valuer_62.04;real estate_35.63;market value_32.95;approach_32.37;underinsurance_23.34;uspap_21.56;rics_18.8;betterment_18.56;sale_16.11
bn:00003329n;Cooperativeness;self-transcendence_184.53;agreeableness_169.89;self-directedness_137.31;cloninger_111.38;cooperativeness_106.6;schizotypy_103.66;trait_72.74;personality_69.04;low_53.56;factor_51.04;zuckerman_42.07;associate_38.91;model_36.77;high_34.3
bn:00003332n;Amendment;referendum_317.04;amendment_283.62;clause_170.15;court_162.41;supreme court_124.1;law_119.45;state_93.29;fourteenth amendment_88.04;constitution_74.19;s.i._70.6;constitutional_63.52;speech_63.39;protection_62.6;right_58.13
bn:00003337n;Catkin;catkin_626.1;willow_371.46;inflorescence_295.75;flower_237.19;tree_192.31;cm_173.34;plant_166.4;grow_143.52;bark_123.16;long_109.02;salix_105.41;birch_99.78;shrub_95.01;bract_84.1
bn:00003348n;Pronghorn;bison_564.07;wolf_468.25;pronghorn_433.11;antelope_355.27;herd_289.41;coyote_281.65;prairie dog_273.48;giraffe_219.78;animal_191.5;specie_166.6;penis_165.95;hunting_152.44;gray wolf_150.06;male_139.49
bn:00003350n;Arrowroot;starch_467.09;flour_304.76;arrowroot_302.32;egg_114.81;pimpama_114.28;food_111.07;bake_95.2;noodle_91.5;bracken_80.42;stew_74.9;use_66.92;cooking_64.68;biscuit_55.52;cooley_53.05
bn:00003392n;Elk;elk_1906.65;deer_1001.32;antler_950.49;moose_651.39;caribou_380.53;red deer_362.37;herd_346.59;subspecies_338.4;yellowstone_302.37;wapiti_270.46;white-tailed deer_241.63;wolf_210.71;cougar_187.38;brown bear_187.13
bn:00003502n;Methotrexate;methotrexate_612.5;patient_559.37;drug_531.21;treatment_512.46;chemotherapy_394.58;folic acid_367.03;folate_341.18;disease_310.23;cell_261.0;aspirin_229.69;dose_228.84;inhibitor_225.03;cancer_216.19;primidone_196.11
bn:00003503n;Amethyst;amethyst_523.87;purple_348.39;color_339.05;mineral_306.54;gem_263.77;quartz_252.27;gemstone_226.94;jewellery_207.25;violet_204.87;lavender_189.69;crystal_189.54;stone_164.48;agate_123.47;folio_117.1
bn:00003522n;Amine;amine_1243.42;ammonia_513.58;alkane_464.01;nitrogen_425.87;reaction_388.42;pyridine_364.91;compound_213.13;amide_202.47;aniline_187.85;protonated_168.85;imine_166.02;ammonium_163.13;aromatic_163.12;histamine_151.77
bn:00003533n;Amish;amish_3335.91;mennonites_812.19;mennonite_792.11;mennonite church_279.51;congregation_190.57;church_160.64;pennsylvania_152.66;community_137.72;ordnung_125.01;anabaptist_116.37;pennsylvania dutch_106.28;conference_103.2;shun_102.4;german_93.08
bn:00003543n;Ammunition;cartridge_1790.22;ammunition_1370.85;gun_858.36;bullet_682.48;shell_659.4;projectile_532.02;firearm_462.02;fire_430.79;rifle_409.72;artillery_344.55;barrel_319.72;weapon_306.03;round_278.06;mm._270.13
bn:00003549n;Ammonia;ammonia_2177.01;nitrogen_614.49;ammonium_440.84;urea_370.36;hydrogen_368.6;nh_361.45;water_309.98;reaction_292.61;gas_218.99;nitric acid_203.61;solution_199.23;liquid_197.17;hydrazine_196.33;compound_182.64
bn:00003554n;Ammonium;ammonia_1168.76;ammonium_1023.33;nitrogen_719.45;nh_336.92;ion_274.81;cation_265.4;salt_244.43;acid_230.25;compound_202.98;nitrate_176.03;protonated_155.06;liquid_142.46;nitrite_137.0;solution_129.29
bn:00003565n;Amnesia;memory_3312.53;amnesia_1181.36;brain_760.49;patient_709.1;hippocampus_476.87;recall_364.67;episodic memory_314.82;cognitive_292.64;information_271.24;temporal lobe_263.46;study_254.77;pta_242.11;traumatic_239.49;tbi_235.59
bn:00003570n;Amnesty;pardon_1279.68;sentence_747.13;libby_468.45;conviction_440.65;convict_432.13;amnesty_289.29;crime_246.2;parole_241.78;probation_225.26;death penalty_219.33;murder_188.19;commute_182.74;defendant_170.55;clemency_168.24
bn:00003571n;Amniocentesis;fetal_558.18;fetus_463.96;pregnancy_415.45;chromosome_385.76;syndrome_370.76;amniocentesis_331.82;abortion_314.92;risk_266.42;amniotic fluid_249.89;trisomy_221.74;test_203.09;woman_192.87;maternal_182.83;spina bifida_177.01
bn:00003580n;Amontillado;sherry_499.63;wine_430.17;amontillado_257.5;oloroso_208.53;fino_168.01;flor_111.61;grape_104.58;manzanilla_92.08;jerez_82.99;cask_68.68;spanish_58.62;montresor_57.75;montilla-moriles_48.69;fortunato_43.64
bn:00003581n;Cupid;cupid_1115.42;venus_590.18;love_578.55;psyche_463.07;goddess_238.26;eros_223.18;god_196.13;mars_177.89;amor_127.24;dart_97.46;roman_91.53;nude_85.95;putto_84.65;aphrodite_84.5
bn:00003597n;Amortization;mortgage_371.5;loan_312.93;payment_309.37;amortization_305.3;asset_198.92;depreciation_168.03;lender_133.09;cost_124.46;tax_121.69;borrower_116.11;expense_112.79;interest_105.26;apr_100.98;amortize_96.33
bn:00003605n;Self-love;self-esteem_233.66;pride_190.77;hubris_64.01;love_51.85;oneself_47.74;vanity_37.74;mýa_32.26;self_30.07;fromm_24.86;positive_17.97;narcissism_17.63;feeling_17.32;emotion_16.46;self-compassion_16.03
bn:00003606n;Amoxicillin;infection_642.18;antibiotic_435.09;penicillin_381.57;bacterium_317.38;amoxicillin_315.82;treatment_221.2;symptom_198.83;pylorus_167.76;disease_163.33;drug_161.39;bacterial_160.8;patient_147.44;abscess_143.9;pneumonia_140.97
bn:00003614n;Ampersand;ligature_425.79;ampersand_383.51;letter_243.79;use_202.83;frutiger_199.32;font_166.79;character_147.29;word_124.1;symbol_120.05;typeface_116.1;rect_114.59;glyph_109.86;yaml_108.22;script_106.96
bn:00003615n;Amphetamine;amphetamine_1711.81;dopamine_937.88;methamphetamine_710.3;stimulant_557.74;drug_550.28;mdma_370.88;methylphenidate_325.7;dextroamphetamine_293.88;modafinil_273.23;adhd_273.15;effect_269.53;taar1_223.08;norepinephrine_208.14;vmat2_205.91
bn:00003620n;Amphibian;frog_1178.36;amphibian_1149.32;salamander_814.47;egg_413.22;caecilian_363.25;specie_333.6;tadpole_331.11;toad_321.22;temnospondyls_263.25;skin_244.36;tetrapod_238.56;aquatic_203.38;labyrinthodont_181.31;limb_159.34
bn:00003657n;Amphora;vase_764.6;amphora_664.72;wine_587.01;roman_404.94;bc_401.22;provence_354.97;century_255.74;pottery_254.77;painter_243.49;black-figure_216.83;grape_152.71;attic_148.42;red-figure_135.57;dolia_125.8
bn:00003659n;Ampicillin;antibiotic_771.17;bacterium_597.67;infection_558.73;penicillin_508.32;meningitis_447.85;ampicillin_363.24;bacterial_266.57;disease_178.6;chloramphenicol_178.54;treatment_177.46;resistance_169.82;strain_152.66;gbs_148.28;gram-negative_143.29
bn:00003664n;Gain;amplifier_4171.12;output_1361.31;voltage_1248.92;input_925.48;power_767.73;circuit_690.31;distortion_631.24;impedance_602.77;gain_531.28;signal_504.21;transistor_502.39;transformer_358.29;valve_336.98;feedback_329.39
bn:00003666n;Amplifier;amplifier_5121.92;voltage_1605.88;output_1504.79;input_1137.64;transistor_1038.72;circuit_964.37;impedance_851.66;power_751.31;signal_590.87;current_563.87;distortion_474.23;resistance_438.52;gain_417.58;valve_383.84
bn:00003667n;Amplitude;amplitude_1226.31;wave_1083.49;signal_452.16;frequency_425.95;waveform_229.83;oscilloscope_207.13;modulation_197.55;wavelength_188.52;sine wave_188.3;stimulus_173.63;p3b_160.57;phase_144.85;voltage_130.26;jitter_129.69
bn:00003672n;Vial;ampoule_306.2;imc_290.98;glass_239.48;vial_200.51;borosilicate_120.06;caesium_113.42;bottle_98.65;heat_89.87;glassware_72.93;tritium_64.76;use_64.16;specimen_52.31;januarius_48.95;et al._45.5
bn:00003676n;Amputation;amputation_1126.22;limb_297.98;leg_266.78;amputee_196.07;impair_170.37;visually_160.49;knee_158.47;amputate_144.86;functional_140.77;surgery_133.28;patient_121.96;arm_115.6;stand_102.3;paraplegia_101.02
bn:00003687n;Talisman;amulet_913.39;talisman_314.42;magic_288.71;evil eye_245.98;magical_217.16;scarab_150.43;cunning_121.92;darkhawk_103.69;charm_91.9;taweret_85.57;egyptian_83.61;ancient_79.41;grimoires_71.37;evil_69.87
bn:00003693n;Entertainment;entertainment_942.5;dance_205.53;mask_191.56;audience_170.47;music hall_159.78;music_150.17;stripper_115.03;theater_103.0;dancer_94.85;jyp_85.17;performance_74.73;marvel_74.23;performer_70.9;magic_70.7
bn:00003698n;Amygdala;memory_2597.21;amygdala_1635.7;brain_1383.98;hippocampus_760.73;emotion_559.19;stimulus_549.22;emotional_506.76;nucleus_436.4;fear_422.48;study_396.8;flashbulb_347.35;neuron_346.54;oxytocin_294.95;cortex_265.23
bn:00003710n;Amyloid;protein_1273.23;amyloid_920.28;disease_401.24;alzheimer_316.46;prion_267.66;peptide_256.09;aβ_228.41;amino acid_223.6;structure_191.26;prp_188.84;fibril_156.4;amyloidosis_134.49;prions_128.74;cell_124.95
bn:00003712n;Amyloidosis;amyloidosis_434.27;protein_349.88;amyloid_341.38;disease_283.99;actin_269.29;insulin_170.4;inflammation_169.28;cell_150.69;patient_135.64;cause_120.87;symptom_114.66;tissue_111.14;treatment_99.44;dog_98.54
bn:00003714n;Starch;starch_2523.7;glucose_995.08;sugar_547.4;amylose_345.71;carbohydrate_337.95;glycogen_319.65;amylopectin_279.73;enzyme_236.25;amylase_218.45;cellulose_207.62;molecule_207.37;maltose_206.52;diet_192.53;sucrose_180.5
bn:00003735n;Cashew;cashew_785.6;nut_388.89;fruit_256.76;cashew nut_204.81;cuisine_133.34;urushiol_121.07;tree_115.42;pistachio_114.95;moonshine_114.63;seed_109.83;sesame seed_87.4;poison ivy_84.63;sesame_82.51;dish_77.29
bn:00003737n;Anachronism;mormon_259.45;anachronism_234.57;steampunk_152.94;historical_116.77;history_115.59;book_80.47;apologist_65.3;fleur-de-lis_61.78;historian_59.61;altdorfer_51.83;historiography_47.36;issus_44.57;anachronistic_43.75;drawing_40.66
bn:00003742n;Anaconda;snake_735.59;anaconda_491.87;zoo_263.4;specie_247.36;prey_245.08;boa_233.81;jaguar_214.19;animal_183.59;caiman_173.72;boa constrictor_165.46;predator_140.65;amazon_133.71;python_133.39;species_113.22
bn:00003750n;Anemia;anemia_1162.09;hemoglobin_991.04;deficiency_988.46;red blood cell_731.27;iron_696.46;blood_589.7;vitamin_546.73;folate_481.03;copper_382.8;cell_350.14;patient_309.48;disease_292.76;folic acid_283.18;oxygen_273.99
bn:00003753n;Anesthesia;anesthesia_1032.91;anesthetic_646.2;surgery_476.64;patient_463.48;local anesthetic_289.03;pain_274.57;procedure_255.56;epidural_247.69;anaesthesia_239.67;general anesthesia_237.53;analgesia_202.25;anesthesiologist_198.52;drug_184.33;surgical_172.42
bn:00003754n;Anesthetic;pain_519.89;anesthetic_452.34;patient_371.88;drug_362.59;ketamine_359.19;anesthesia_308.25;nitrous oxide_238.92;local anesthetic_218.85;crps_185.04;effect_176.72;use_171.63;fentanyl_170.03;surgery_135.41;analgesic_132.95
bn:00003755n;Anesthesiologist;anesthesiologist_361.66;anesthesia_342.6;patient_309.27;anaesthesia_273.81;physician_268.79;anesthesiology_234.55;anaesthetist_222.43;medical_204.04;podiatric_178.23;surgery_173.18;anesthetic_172.52;emergency medicine_160.29;medicine_146.59;care_134.79
bn:00003766n;Anagram;word_685.95;anagram_676.37;clue_369.99;crossword_363.38;letter_322.69;puzzle_239.61;palindrome_176.23;voltaire_168.04;scrabble_159.47;tile_135.41;cryptic_125.25;answer_112.16;example_90.85;phrase_76.02
bn:00003779n;Analgesic;morphine_1217.19;analgesic_936.61;pain_881.54;codeine_825.24;opioid_815.16;drug_746.91;paracetamol_740.54;aspirin_614.62;opioids_568.11;methadone_389.21;fentanyl_341.91;dose_339.58;effect_322.24;bayer_307.87
bn:00003788n;Analogy;analogy_784.6;peirce_301.22;theory_265.71;reasoning_255.93;logic_237.8;creativity_236.58;religion_221.6;argument_213.89;metaphor_180.97;concept_180.96;inference_152.62;hypothesis_143.51;analogical_136.11;example_132.2
bn:00003795n;Analysis;analysis_416.97;criticism_263.28;method_143.49;spatial_142.92;mathematics_130.96;study_125.07;axiom_115.58;derrida_114.41;deconstruction_104.53;theory_92.08;process_90.08;problem_89.25;datum_85.1;combinatorics_75.58
bn:00003798n;Psychoanalysis;freud_2684.76;psychoanalysis_1767.32;psychoanalytic_944.94;unconscious_474.89;ego_416.46;theory_383.26;lacan_365.86;psychotherapy_349.83;psychoanalyst_277.24;sigmund freud_270.98;patient_220.09;dream_204.7;freudian_189.89;analyst_186.6
bn:00003800n;Topology;topology_3451.48;topological space_895.38;space_860.11;manifold_827.54;set_780.11;subset_565.39;continuous_543.02;topological_351.78;function_343.32;open_301.68;point_283.62;hausdorff_263.29;homeomorphism_240.51;metric space_236.61
bn:00003817n;Pineapple;pineapple_1046.13;fruit_698.45;dole_171.43;bromelain_131.47;hawaii_127.0;kapalua_80.39;delray_78.01;flower_76.71;plant_70.45;banana_66.2;fyffes_62.18;maui_60.15;grow_59.52;bromeliad_57.96
bn:00003830n;Anaphylaxis;allergy_1015.5;anaphylaxis_574.78;allergen_470.31;allergic_383.42;ige_347.94;peanut_337.98;reaction_283.15;symptom_272.83;mast cell_270.37;patient_254.31;epinephrine_241.01;food_232.64;food allergy_220.34;bite_217.15
bn:00003839n;Anarchism;anarchist_7171.2;anarchism_3387.74;individualist_1703.28;stirner_760.36;bakunin_684.95;libertarian_667.79;proudhon_502.72;movement_483.26;sacco_454.92;vanzetti_449.55;goldman_394.9;free love_367.73;egoism_349.8;emma goldman_314.52
bn:00003840n;Anarchy;anarchist_1320.14;anarchism_816.07;individualist_505.31;japierdole_409.44;anarchy_256.86;stirner_161.94;society_152.97;socialism_110.67;government_106.1;socialist_100.84;czolgosz_98.59;political_94.56;primitivist_93.62;proudhon_92.04
bn:00003846n;Shoveler;bird_3341.86;family_1915.39;passeriformes_1753.23;specie_1702.66;order_1597.24;setophaga_1315.69;passerine_1071.3;calidris_773.4;ana_709.04;bill_651.75;beak_609.18;medium-sized_594.09;vireo_587.78;plumage_584.6
bn:00003849n;Wigeon;bird_1751.99;specie_1716.51;family_1128.15;passeriformes_1081.94;order_959.24;ana_697.88;setophaga_685.41;calidris_582.8;passerine_551.73;larus_427.2;plumage_333.3;beak_325.4;medium-sized_322.23;charadriiformes_320.93
bn:00003850n;Mallard;duck_1579.38;mallard_965.87;bird_664.77;specie_340.2;nest_335.59;great horned owl_331.22;male_318.56;duckling_310.0;hybrid_273.04;waterfowl_267.45;ana_248.58;female_241.36;owl_229.0;breed_212.75
bn:00003870n;Anathema;church_456.64;anathema_257.0;god_243.04;pope_226.94;bishop_217.83;christian_192.81;nestorius_157.75;excommunication_154.28;faith_149.53;council_145.32;lutheran_138.3;christ_129.58;orthodox_119.05;doctrine_115.5
bn:00003878n;Sphincter;sphincter_378.88;esophagus_354.71;stomach_259.85;muscle_159.06;starfish_135.8;esophageal_133.37;bladder_107.8;urethra_97.25;oddi_71.15;achalasia_69.05;lip_68.47;gastric_66.35;barium_65.15;rectum_54.19
bn:00003881n;Anatomy;anatomy_988.31;dissection_310.62;anatomical_200.14;body_189.04;animal_164.1;anatomist_159.32;vesalius_144.72;cadaver_108.21;organ_103.19;human_100.92;study_87.9;dissect_82.19;struthers_79.35;brain_77.97
bn:00003885n;Toxoid;vaccine_608.41;antigen_248.73;toxin_190.82;vaccination_175.79;tetanus_169.22;toxoid_116.65;immune response_111.98;antibody_104.46;disease_95.31;cell_90.9;immunity_76.07;immunization_71.11;protein_70.17;dna_66.64
