"Reference","Sentence"
"en.wikipedia.org","<s> This role takes on heightened importance once war breaks out. </s>"
"en.wikipedia.org","<s> Not long after, Samantha becomes suspicious of Richard and catches him cheating on her which breaks her heart. </s>"
"en.wikipedia.org","<s> They reunite not long after when Richard apologises, but Samantha develops jealousy and is unable to trust him around other women so breaks it off before he can break her heart again. </s>"
"en.wikipedia.org","<s> Although he eventually agrees to exclusivity, he doesn''t introduce Carrie to his mother and won''t refer to her as ""the one"", so rather than going on a planned vacation with him, Carrie breaks it off. </s>"
"en.wikipedia.org","<s> Carrie dates a baseball player while on the rebound but breaks it off when she realizes she''s not over Big. </s>"
"en.wikipedia.org","<s> Despite a brief attempt at couples therapy, Samantha breaks up with James. </s>"
"en.wikipedia.org","<s> They decide to try for a baby but realize Charlotte is reproductively challenged; after fertility treatments and discussing adoption, their marriage breaks apart under the strain and they decide to divorce. </s>"
"en.wikipedia.org","<s> Samantha tries again with Richard but cannot overcome her lack of trust in him, and she breaks it off for good. </s>"
"en.wikipedia.org","<s> She does, briefly, but realizes how inattentive he is when working, and she breaks it off with him just as Big arrives in Paris, looking for her, ready to finally commit to her being ""the one"". </s>"
"en.wikipedia.org","<s> After this process, she presses Harry to ""set the date"" in an insulting way and he breaks it off with her. </s>"
"en.wikipedia.org","<s> Later in development, the bone structure breaks loose from the jaw and migrates to the inner ear area. </s>"
"en.wikipedia.org","<s> I yearn over you, but I yearn in vain; & your long silence really breaks my heart, mystifies, depresses, almost alarms me, to the point even of making me wonder if poor unconscious & doting old Célimare pet name for James has ''done'' anything, in some dark somnambulism of the spirit, which has ... given you a bad moment, or a wrong impression, or a ''colourable pretext'' ... However these things may be, he loves you as tenderly as ever; nothing, to the end of time, will ever detach him from you, & he remembers those Eleventh St."
"en.wikipedia.org","<s> Heracles is moved to tears by Meleager''s account; Meleager has left his sister Deianira unwedded in his father''s house, and entreats Heracles to take her as bride; here Bacchylides breaks off his account of the meeting, without noting that in this way Heracles in the Underworld chooses a disastrous wife. </s>"
"en.wikipedia.org","<s> After further contractions, the sac is expelled and the bitch breaks the membranes releasing clear fluid and exposing the puppy. </s>"
"en.wikipedia.org","<s> Mel Brooks''s 1974 comedy ""Blazing Saddles"" leaves its Western setting when the climactic fight scene breaks out, revealing the setting to have been a set in the Warner Bros. studio lot; the fight spills out onto an adjacent musical set, then into the studio canteen, and finally onto the streets. </s>"
"en.wikipedia.org","<s> A paragraph at the start of the novel shows an excerpt from ""The Romance of Modern Astrography"", explaining that the ship was part of the ""Proxima Centauri Expedition, sponsored by the Jordan Foundation in 2119"". (A timeline produced by Heinlein to link different stories in his Future History places the launch of the ""Vanguard"" in the early 22nd century.) A discovered ship''s log begins in June 2172, a few days before the mutiny breaks out. </s>"
"en.wikipedia.org","<s> Her realm is a chaotic, constantly changing mass of colors and strange objects and shapes, and contains a sundial with the inscription ""Tempus Frangit"" (""time breaks ,"" a Latin pun on the phrase ""Tempus Fugit"", ""time flees"".) Delirium travels with a ""guardian"" of sorts, a dog named Barnabas, on indefinite loan from her brother Destruction. </s>"
"en.wikipedia.org","<s> It should also, and very notably, define what sanctions will be applied if a user breaks the AUP. </s>"
"en.wikipedia.org","<s> Their work expressed what happens when human existence has no meaning or purpose and therefore all communication breaks down, alerting their audiences to pursue the opposite. </s>"
"en.wikipedia.org","<s> In the ballad, the hod-carrier Tim Finnegan, born ""with a love for the liquor"", falls from a ladder, breaks his skull, and is thought to be dead. </s>"
"en.wikipedia.org","<s> Part of the third book, which breaks off abruptly in the story of Theseus, has been lost. </s>"
"en.wikipedia.org","<s> But outside a tense feast in the great hall, a fight breaks out between Huns and Burgundians, and soon there is general mayhem. </s>"
"en.wikipedia.org","<s> Also, Manannán rewards him with a magic cup which breaks if three lies are spoken over it and is made whole again if three truths are spoken. </s>"
"en.wikipedia.org","<s> Greek ""lygros"" ""mournful, sad,"" Sanskrit ""rujati"" "" breaks , torments,"" Lettish ""lauzit"" ""to break the heart"") </s>"
"en.wikipedia.org","<s> Efnisien lies down among the dead and is placed in the cauldron, then breaks it, bursting his heart and dying in the process. </s>"
"en.wikipedia.org","<s> As an eel, she trips him in the ford, but he breaks her ribs. </s>"
"en.wikipedia.org","<s> Finally she appears as a heifer at the head of the stampede, but he breaks her leg with another slingstone. </s>"
"en.wikipedia.org","<s> At this inopportune moment she gets her period, and although Fergus forms a guard around her, Cú Chulainn breaks through as she is dealing with it and has her at his mercy. </s>"
"en.wikipedia.org","<s> Cú Chulainn begins an affair with Scáthach''s daughter Uathach, but accidentally breaks her fingers. </s>"
"en.wikipedia.org","<s> In ""Tochmarc Emire"" the Ulaid hero Cú Chulainn has come to train in arms under Scáthach when a battle breaks against Aífe. </s>"
"en.wikipedia.org","<s> Like a man possessed, he follows her to Cambridge and, in the middle of the night, breaks into her house, only to find her in bed with her half-brother Palmer. </s>"
"en.wikipedia.org","<s> Wotan tries to stop him but he breaks the God''s spear. </s>"
"en.wikipedia.org","<s> Then, when Atli is solidly drunk, she breaks the news to him: </s>"
"en.wikipedia.org","<s> While internal waves generally have a lower frequency than surface waves, they often form as a single wave that breaks into multiple waves as it hits a slope and moves upward. </s>"
"en.wikipedia.org","<s> The two agree never to drink again, but Shawn breaks the promise and shows up at school drunk. </s>"
"en.wikipedia.org","<s> She breaks up with Cory completely and tells him that she doesn''t believe in love. </s>"
"en.wikipedia.org","<s> This periodically generates ""reality discontinuities"", where reality breaks down. </s>"
"en.wikipedia.org","<s> In the episode ""The Boy Who Knew Too Much"", the regular school bus breaks down and a Springfield State Prison bus is used instead. </s>"
"en.wikipedia.org","<s> During the film, Bueller frequently breaks the fourth wall by speaking directly to the camera to explain to the audience his thoughts and techniques. </s>"
"en.wikipedia.org","<s> Throughout the film, he breaks the fourth wall by explaining to the audience his thoughts and techniques. </s>"
"en.wikipedia.org","<s> In the post credits scene, Ferris breaks the fourth wall when he tells the audience that the movie is over and they should go home now. </s>"
"en.wikipedia.org","<s> His skull is unusually hard, and Thor breaks a cup by throwing it at Hymir''s head. </s>"
"en.wikipedia.org","<s> Thor goes fishing with Hymir, using the head of Hymir''s best ox for bait, and catches Jörmungandr, who then either breaks loose or, as told in the ""Gylfaginning"" of the ""Prose Edda"", is cut loose by Hymir. </s>"
"en.wikipedia.org","<s> Also, the ball travels approximately straight on, as compared to a wrist spin or finger spin stock delivery that breaks to the left or right on impact. </s>"
"en.wikipedia.org","<s> When eggs start to hatch, she breaks open the nest which has hardened over time and leads the young to the water where she continues to care for them for another year. </s>"
"en.wikipedia.org","<s> Typically tilapia have a long dorsal fin, and a lateral line which often breaks towards the end of the dorsal fin, and starts again two or three rows of scales below. </s>"
"en.wikipedia.org","<s> Acetaldehyde naturally breaks down in the human body but has been shown to excrete in urine of rats. </s>"
"en.wikipedia.org","<s> However, some of these images can finish up being more widely distributed or being posted onto the Internet without the knowledge and consent of the subject, for example when a relationship breaks up. </s>"
"en.wikipedia.org","<s> On threshing, a hulled wheat spike breaks up into spikelets. </s>"
"en.wikipedia.org","<s> The plantation finally yields a good harvest at long last, but a devastating fire breaks out in the processing shed, and the crops and all of the factory equipment are destroyed. </s>"
"en.wikipedia.org","<s> Saws of this size typically have a shear pin hole, off axis, that breaks if the saw is overloaded and allows the saw to spin free. </s>"
"en.wikipedia.org","<s> During the fight with the Third Army and the Guardians, the Guardians draw so much energy from Volthoom that he breaks free of containment. </s>"
"en.wikipedia.org","<s> The clash over resources on Earth breaks out into a full-blown world war leaving hundreds of millions dead, but cease-fire arrangements are reached when the transnats flee to the safety of the developed nations, which use their huge militaries to restore order, forming police-states. </s>"
"en.wikipedia.org","<s> Johnson argues that the entire ""Regeneration Trilogy"" breaks the boundaries created by modern society''s abstraction of war and its casualties because ""mutilation and death are re-presented in a ways that escape warfare''s typical conceptual categories, thus ...""realising"" modern warfare by reconnecting language and material substance."" In discussing the first novel specifically, Johnson highlights how the book ""repeatedly employs synecdoche"" to emphasise the visceral experiences, by describing eviscerated human flesh and how the characters respond to those experiences. </s>"
"en.wikipedia.org","<s> The county mayor, typically, serves as chair of the County Commission and breaks a tie if one occurs during voting. </s>"
"en.wikipedia.org","<s> This most common form of impetigo, also called nonbullous impetigo, most often begins as a red sore near the nose or mouth which soon breaks , leaking pus or fluid, and forms a honey-colored scab, followed by a red mark which heals without leaving a scar. </s>"
"en.wikipedia.org","<s> Shadwell returns to his villa and coldly breaks off his engagement with Frances. </s>"
"en.wikipedia.org","<s> Rosemary, drunk from the same whiskey, jealously breaks up the dance between Madge and Hal. </s>"
"en.wikipedia.org","<s> Mrs. Owens and Alan show up and think Hal has caused a messy scandal, made all the worse when Millie breaks down, screaming, ""Madge is the pretty one!"" and becomes ill from the whiskey. </s>"
"en.wikipedia.org","<s> Juror 3 finally loses his temper and tears up a photo of himself and his son, then suddenly breaks down crying and changes his vote to ""not guilty"", making the vote unanimous. </s>"
"en.wikipedia.org","<s> After pressuring Miriam into a physical relationship, which he finds unsatisfying, Paul breaks with her as he grows more intimate with Clara, who is more passionate physically. </s>"
"en.wikipedia.org","<s> Because the federal Employee Retirement Income Security Act (ERISA) controls most employee benefits provided by private employers, DOMA removed some tax breaks for employers and employees in the private sector when it comes to health care, pension, and disability benefits to same-sex spouses on an equal footing with opposite-sex spouses. </s>"
"en.wikipedia.org","<s> Kathryn taunts him and threatens to ruin Annette''s reputation, so Sebastian pretends indifference to Annette and coldly breaks up with her. </s>"
"en.wikipedia.org","<s> After Cristal gloats and taunts Nomi at a performance, Nomi pushes her down a flight of stairs, and Cristal breaks her hip. </s>"
"en.wikipedia.org","<s> Sometimes Papatuanuku heaves and strains and almost breaks herself apart to reach her beloved partner again but it is to no avail. </s>"
"en.wikipedia.org","<s> According to the Story County Laborshed Analysis, which was analyzed and compiled by the Iowa Workforce Development in August 2011, Story County has a total potential labor force of 424,702 people, which breaks down as follows: </s>"
"en.wikipedia.org","<s> In addition to the previously available vertex and pixel shader stages, the API includes a geometry shader stage that breaks the old model of one vertex in/one vertex out, to allow geometry to actually be generated from within a shader, allowing for complex geometry to be generated entirely on the graphics hardware. </s>"
"en.wikipedia.org","<s> She breaks out of sick bay and attempts to communicate with the collective, but Ensign Harry Kim (Garrett Wang). </s>"
"en.wikipedia.org","<s> While medication alleviated the toxoplasmosis, further tests, including a biopsy, revealed he had progressive multifocal leukoencephalopathy (PML), a rare and usually fatal viral inflammation of the brain that breaks down the electrical impulses of the nervous system. </s>"
"en.wikipedia.org","<s> At the time, it was thought by New Orleans residents that the dynamiting saved the city, but historians now believe that the dynamiting was unnecessary due to major upstream levee breaks that relieved pressure on the New Orleans levees. </s>"
"en.wikipedia.org","<s> When Tonya becomes pregnant, Yuri breaks off with Lara, only to be abducted and conscripted into service by Communist partisans. </s>"
"en.wikipedia.org","<s> Alfie frequently breaks the fourth wall by speaking directly to the camera narrating and justifying his actions. </s>"
"en.wikipedia.org","<s> The Black Panther beats him so badly that he breaks Red Skull''s jaw in half. </s>"
"en.wikipedia.org","<s> During the commotion, Jay and Silent Bob locate Banky Edwards and demand their money; after Banky refuses, Silent Bob breaks his silence and explains why Banky can be sued if he does not acquiesce to their demands. </s>"
"en.wikipedia.org","<s> In Verona, Italy, the longstanding feud between the Montague and the Capulet clans breaks out in a street brawl, broken up by the Prince of the city. </s>"
"en.wikipedia.org","<s> Unfortunately, another street duel breaks out between Juliet''s first cousin Tybalt and Romeo''s best friend Mercutio when Tybalt insults Romeo. </s>"
"en.wikipedia.org","<s> In the end, she breaks up with Robert, and switches to teaching at Riverdale High. </s>"
"en.wikipedia.org","<s> The ""Hellenics"" treated of the history of Greece, in twelve books, from 411 (where Thucydides breaks off) to 394 BC — the date of the battle of Cnidus (cf. </s>"
"en.wikipedia.org","<s> In another story, Reggie deliberately breaks an expensive vase of the Lodges and frames Archie for it; so he can take over his date with Veronica. </s>"
"en.wikipedia.org","<s> In the end, Archie breaks up with Pam, Jughead moves back to Riverdale to open a practice, and Betty plans to teach in Riverdale High. </s>"
"en.wikipedia.org","<s> Afterward, Firestorm breaks up the team. </s>"
"en.wikipedia.org","<s> During the commercial breaks the audio and picture would be left on, capturing at times risque language and other events that would certainly be edited out later going out over the feed. </s>"
"en.wikipedia.org","<s> Kirk, forced to relive the death of Edith Keeler, goes berserk with rage and breaks the illusion. </s>"
"en.wikipedia.org","<s> Machiavelli breaks this case into two basic types, depending upon which section of the populace supports the new prince. </s>"
"en.wikipedia.org","<s> It consists of a combination left and right peak that breaks over a reef and sand bottom. </s>"
"en.wikipedia.org","<s> This is a powerful and hollow left hand reef break which breaks in shallow water and washes over a rock shelf. </s>"
"en.wikipedia.org","<s> Lewis breaks his leg in the spill and he, Bobby and Ed make it to shore. </s>"
"en.wikipedia.org","<s> Finally the boy is admitted, and the guard breaks the cake into pieces in order to ""check"" if it hid something to help the boy''s father escape. </s>"
"en.wikipedia.org","<s> When he gets home, he tells his mother, who breaks it to him that his father is dead. </s>"
"en.wikipedia.org","<s> Eventually she breaks down and sits quietly at the table, concerned that she is ''beginning to sound like a wife.'' </s>"
"en.wikipedia.org","<s> An explosion leaves the elevator cab hanging by a single cable at the 110th floor, where Lisolette falls to her death after a glass panel breaks off in the explosion. </s>"
"en.wikipedia.org","<s> A critical feature of the technique is a middle step that breaks the problem into ""solvable"" and ""perturbation"" parts. </s>"
"en.wikipedia.org","<s> The entablature above the columns breaks forward over them to express both elements, tying them together in a single horizontal band. </s>"
"en.wikipedia.org","<s> Urea breaks the hydrogen bonds between the base pairs of the nucleic acid, causing the constituent strands to separate. </s>"
"en.wikipedia.org","<s> This action breaks a covenant between Eclipso and the Spectre, and sets Eclipso permanently at odds with the wizard. </s>"
"en.wikipedia.org","<s> These tests proved that when the corpus callosum is severed, it breaks the connection between the left and right hemispheres, making them unable to communicate with each other. </s>"
"en.wikipedia.org","<s> Step five is indicating where the analogy breaks down between the two concepts. </s>"
"en.wikipedia.org","<s> The robot breaks down, malfunctioning, its face a mass of wire and broken circuitry which repeats the word ""Corry"". </s>"
"en.wikipedia.org","<s> Endogenous anandamide is present at very low levels and has a very short half-life due to the action of the enzyme fatty acid amide hydrolase (FAAH), which breaks it down into free arachidonic acid and ethanolamine. </s>"
"en.wikipedia.org","<s> Encolpius discovers that his companion Asciltos has left and breaks away from Agamemnon when a group of students arrive (6). </s>"
"en.wikipedia.org","<s> This assumption breaks down when the length scales of interest approach the order of the micro structural details of the material. </s>"
"en.wikipedia.org","<s> Juliet breaks her engagement with Arbuckle and, with the help of Father Lawrence, the two are married in secrecy the next day. </s>"
"en.wikipedia.org","<s> While Java does so also, the casting that needs to be done breaks the discipline of static typing, and generics are one way of achieving some of the benefits of dynamic typing with the advantages of having static typing. </s>"
"en.wikipedia.org","<s> Although Ernest reassures Helen there is nothing going on between him and Madeline, he soon breaks off his engagement with Helen and weds Madeline. </s>"
"en.wikipedia.org","<s> However, when Madeline returns home (now appearing young and beautiful), she and Ernest have an argument, during which Madeline falls down the stairs and breaks her neck. </s>"
"en.wikipedia.org","<s> The blond hood rips Sally''s clothes, breaks her radio, and rifles through her purse, looking for the drugs or any proceeds. </s>"
"en.wikipedia.org","<s> Harold breaks both arms and Madge realises that she loves Harold and they resume their engagement. </s>"
"en.wikipedia.org","<s> Other popular interpretations of the name, Temecula, include ""The Sun That Shines Through The Mist"" or ""Where the sun breaks through the mist"". </s>"
"en.wikipedia.org","<s> Wright''s ninth championship as a head coach also breaks the state mark. </s>"
"en.wikipedia.org","<s> The comic song ""We''re Despicable"" is set at the grimmest part of the drama, and self-consciously breaks into the story. </s>"
"en.wikipedia.org","<s> He breaks the door down, finds Lulu together with the Painter, and dies of a heart attack. </s>"
"en.wikipedia.org","<s> The party quickly breaks up. </s>"
"en.wikipedia.org","<s> Realizing that they had in fact never left Earth and that he had killed his partners for nothing, Corey breaks down weeping. </s>"
"en.wikipedia.org","<s> Unwilling to become a one-woman man, Garrett breaks up with Aurora, making her feel ""humiliated."" </s>"
"en.wikipedia.org","<s> Her doctor breaks the news that the drugs she was taking did not have the desired effect, and that Emma will not survive her illness. </s>"
"en.wikipedia.org","<s> While on a horseback ride the day before the flight with his wife, Glennis, Yeager collides with a tree branch and breaks his ribs, which inhibits him from leaning over and locking the entry hatch to the X-1. </s>"
"en.wikipedia.org","<s> Mac attends his daughter''s funeral at Dixie''s lavish home in Nashville and comforts her when she breaks down. </s>"
"en.wikipedia.org","<s> Ronny Heaslop arrives and rudely breaks up the party. </s>"
"en.wikipedia.org","<s> Ronny Heaslop breaks off their engagement. </s>"
"en.wikipedia.org","<s> Later that evening, after Cecil again rudely declines to play tennis, Lucy sours on Cecil and immediately breaks off her engagement. </s>"
"en.wikipedia.org","<s> breaks up as: </s>"
"en.wikipedia.org","<s> After leaving Sal Paradise in Mexico, Dean Moriarty''s car breaks down in Lake Charles. </s>"
"en.wikipedia.org","<s> The Quequechan River breaks out of its bed in the west part of the South Watuppa Pond, just west of The Narrows, and flows through the city (partially underground in conduits) where it falls to a channel leading to what is now Heritage State Park at Battleship Cove on the Taunton River. </s>"
"en.wikipedia.org","<s> Hyaluronidase (also known as spreading factor) breaks down hyaluronic acid and helps in spreading of ""Staphylococcus aureus"". </s>"
"en.wikipedia.org","<s> ""S.aureus"" also produces DNAse (deoxyribonuclease) which breaks down the DNA, lipase to digest lipids, staphylokinase to dissolve fibrin and aid in spread, and beta-lactamase for drug resistance. </s>"
"en.wikipedia.org","<s> Bentonia is also home of the historic Blue Front Café where owner Jimmy ""Duck"" Holmes keeps it authentic, especially when he breaks out his box for an impromptu performance. </s>"
"en.wikipedia.org","<s> The Irvington Branch of the Lehigh Valley Railroad breaks off of the mainline. </s>"
"en.wikipedia.org","<s> Framlingham has no keep, for example - this had been a very popular feature in previous Anglo-Norman castles, but this castle breaks with the tradition, relying on the curtain wall and mural towers instead. </s>"
"en.wikipedia.org","<s> As dawn breaks the Hebrews lift up a humble prayer to God in a style reminiscent of plainchant. </s>"
"en.wikipedia.org","<s> The buildings are also notable for breaking from Oxbridge tradition by arranging rooms along corridors rather than around staircases. (Girton College, Cambridge similarly breaks this tradition). </s>"
"en.wikipedia.org","<s> The top breaks the Jacobean tradition and has classical pilasters, a shield with garlands, and a segmental pediment. </s>"
"en.wikipedia.org","<s> 1994 - The Marist Fathers leave St. Peter Chanel High School; the school also breaks its football losing streak. </s>"
"en.wikipedia.org","<s> When Johnny finally arrives, he breaks off the engagement, superstitiously believing that their marriage would cause his mother''s death. </s>"
"en.wikipedia.org","<s> When her boss, Katharine Parker (Sigourney Weaver), breaks her leg skiing, Tess uses Parker''s absence and connections, including her errant beau Jack Trainer (Harrison Ford), to put forward her own idea for a merger deal. </s>"
"en.wikipedia.org","<s> But when Katharine breaks her leg skiing in Europe, she asks Tess to house-sit. </s>"
"en.wikipedia.org","<s> Afterwards, Sam and Oda Mae return to Molly''s apartment to warn her about Carl, but she refuses to let her in and breaks down in grief. </s>"
"en.wikipedia.org","<s> The hook hits the window and breaks the plate glass into several jagged shards, then the window slides down to pierce Carl''s abdomen, killing him. </s>"
"en.wikipedia.org","<s> The borough sits in the valley of Wills Creek, which breaks through Savage Mountain and Little Allegheny Mountain to the west and turns south at Hyndman to flow towards Maryland. </s>"
"en.wikipedia.org","<s> The Little Juniata River breaks through the mountain ridge at Tyrone; south of the river, the ridge is known as Brush Mountain. </s>"
"en.wikipedia.org","<s> When Chester became eligible for Pennsylvania''s Opportunity Zone (KOZ) program, firms began to accept state and local tax breaks to invest in KOZ-designated areas of this southeastern Pennsylvania city. </s>"
"en.wikipedia.org","<s> Humiliated and suspicious, Henry breaks off the engagement. </s>"
"en.wikipedia.org","<s> Gerry Conlon (Daniel Day-Lewis) is shown in Belfast stripping lead from roofs of houses when security forces home in on the district with armoured cars, and a riot breaks out. </s>"
"en.wikipedia.org","<s> Masonry chisels are typically heavy, with a relatively dull head that wedges and breaks , rather than cuts. </s>"
"en.wikipedia.org","<s> During his off hours, he would leave the WQED studios during his lunch breaks to study theology at the nearby Pittsburgh Theological Seminary. </s>"
"en.wikipedia.org","<s> The white population breaks down as 14.6% American, 13.8% German, 9.6% Irish, 6.8% English and 5.7% Norwegian ancestry. </s>"
"en.wikipedia.org","<s> The original settlement that became the town of Philippi was on a section of bottomland at a bend in the river at the mouth of Anglin''s Run. (This area was later designated ""Dayton Park"".) Opposite this bottomland, at the western landing of ""Booth''s Ferry"", is a sharp ridge which breaks abruptly down to the river and is still known as ""Nobusiness Hill"". </s>"
"en.wikipedia.org","<s> However, after Dirk disconnects the television set the boy had been watching, the boy promptly breaks Dirk''s nose. </s>"
"en.wikipedia.org","<s> Step terminations result when a flake prematurely breaks or snaps during removal, leaving a distal end that is often squared off. </s>"
"en.wikipedia.org","<s> Another example, among many, is when the gift of a silk garment is considered an insult by Flosi and a hard-won settlement breaks down as a consequence. </s>"
"en.wikipedia.org","<s> Flosi claims to be insulted by the offer of a unisex garment (an insult from Skarp-Heðinn also adds fuel to the fire) and the settlement breaks down. </s>"
"en.wikipedia.org","<s> The most dramatic moment is when he breaks into the earl''s hall in Orkney and kills a man who is giving a slanderous account of those killed at the burning. </s>"
"en.wikipedia.org","<s> He came to believe that race created culture, arguing that distinctions between the three races - ""black"", ""white"", and ""yellow"" - were natural barriers, and that ""race-mixing"" breaks those barriers and leads to chaos. </s>"
"en.wikipedia.org","<s> In ""Where the Buggalo Roam"" during his stay at the ranch of Amy Wong''s parents, he bathes in their champagne, breaks their television, fertilizes the caviar before Amy''s father eats it, draws mustaches on several portraits around the house, tears up their couch, fills their pool with brine shrimp and refers to the ranch as ""Rancho Zoidberg,"" enraging the Wongs. </s>"
"en.wikipedia.org","<s> When a large voltage is applied, the diode junction breaks down due to a combination of thermionic emission and electron tunneling, and a large current flows. </s>"
"en.wikipedia.org","<s> Hearing of Banzai''s success, physicist Dr. Emilio Lizardo breaks out of the Trenton Home for the Criminally Insane, after being held there for 50 years. </s>"
"en.wikipedia.org","<s> Enright soon treats Stempel to dinner at an upscale restaurant, where he breaks the news that Stempel must lose in order to boost flagging ratings. </s>"
"en.wikipedia.org","<s> After an argument, Jerry breaks up with his disgruntled fiancée. </s>"
"en.wikipedia.org","<s> Although Dorothy loves Jerry, she breaks up with him because she believes that he does not love her. </s>"
"en.wikipedia.org","<s> Once in France, experiences numerous and risky sexual encounters; his only rule is that he never pays for sex - a rule he eventually breaks . </s>"
"en.wikipedia.org","<s> After Kevin breaks up with Becky due to his feelings for Winnie, Becky becomes a recurring nuisance for Kevin. </s>"
"en.wikipedia.org","<s> A beautiful new student named Madeline Adams joins Kevin''s school and quickly catches Kevin''s eye, but it is Winnie who breaks up with Kevin after meeting Roger, a typical jock-type at her new school. </s>"
"en.wikipedia.org","<s> Ethylene glycol is a High Production Volume Chemical; it breaks down in air in about ten days, and in water or soil in a few weeks. </s>"
"en.wikipedia.org","<s> Regular programming breaks down as the studio struggles with casualty updates, firefighting developments, and the like. </s>"
"en.wikipedia.org","<s> After the play, Welles informally breaks character to remind listeners that the broadcast was a Halloween concoction: the equivalent, he says, ""of dressing up in a sheet, jumping out of a bush and saying, ''Boo!''"". </s>"
"en.wikipedia.org","<s> Unfortunately, the increase in power from the slot breaks backward compatibility between PCI Express 2.1 cards and some older motherboards with 1.0/1.0a, but most motherboards with PCI Express 1.1 connectors are provided with a BIOS update by their manufacturers through utilities to support backward compatibility of cards with PCIe 2.1. </s>"
"en.wikipedia.org","<s> They mainly eat lichens in winter, especially reindeer moss – a unique adaptation among mammals, and they are the only animals except for some gastropods where the enzyme lichenase, which breaks down lichenin to glucose, have been found. </s>"
"en.wikipedia.org","<s> Vostell''s working concept of décollage is as a visual force that breaks down outworn values and replaces them with thinking as a function distanced from media. </s>"
"en.wikipedia.org","<s> Because the river breaks across a cliff before reaching the city, Lucius ordered that a new canal be dug. </s>"
"en.wikipedia.org","<s> On the surface the story has no clear magical attributes and everything is conveyed in a real setting, but such a character breaks the rules of our real world. </s>"
"en.wikipedia.org","<s> Magic realism contains an ""implicit criticism of society, particularly the elite."" Especially with regard to Latin America, the style breaks from the inarguable discourse of ""privileged centers of literature."" This is a mode primarily about and for ""ex-centrics"": the geographically, socially and economically marginalized. </s>"
"en.wikipedia.org","<s> The Guardians'' plans have changed after Guy breaks off the attack from the Third Army and survives; the Guardians then frame Guy for failing his duty to protect the ambassadors, who were killed and expel him from the Green Lantern Corps. </s>"
"en.wikipedia.org","<s> When they are able to destroy the Third Army, Volthoom breaks free by taking the wounded Guardians'' energy power and igniting the light, apparently resulting in the destruction of the universe. </s>"
"en.wikipedia.org","<s> Just when Alice has decided Jerry is crazy, a SWAT team breaks in. </s>"
"en.wikipedia.org","<s> There she bribes an attendant to show her an unused wing, breaks in, and finds Jerry. </s>"
"en.wikipedia.org","<s> May and Ben are later by Peter and Mary Jane''s side when she gives birth and is horrified when news breaks that Allison Mongrain has stolen baby May. </s>"
"en.wikipedia.org","<s> They date for a time, though Gwen breaks up with Peter when she learns Mary Jane is the girl he truly loves. </s>"
"en.wikipedia.org","<s> MJ, attempting to fix this, breaks up with Peter and reunites with Harry. </s>"
"en.wikipedia.org","<s> She breaks up with him, but still lives with the Parkers due to Gwen and Aunt May has become close in a surrogate mother-daughter fashion. </s>"
"en.wikipedia.org","<s> The final ninth blow is given at the middle of the spine, so that it breaks . </s>"
"en.wikipedia.org","<s> In English, the quotation ""Who breaks a butterfly upon a wheel?"" from Alexander Pope''s ""Epistle to Dr Arbuthnot"" is occasionally seen, referring to putting great effort into achieving something minor or unimportant. </s>"
"en.wikipedia.org","<s> She breaks down in tears over her situation with Hyde. </s>"
"en.wikipedia.org","<s> Hyde then viciously murders Sir Danvers out in the garden by striking him repeatedly with Jekyll''s cane until it breaks , then runs off into the night towards Jekyll''s home and the lab to mix a new formula to change himself back. </s>"
"en.wikipedia.org","<s> Hannah worries about her baby''s safety when a typhoid fever epidemic breaks out in the East End of London. </s>"
"en.wikipedia.org","<s> Jim Corrigan soon creates his signature costume, breaks off his romance with Clarice, and continues to be Jim Corrigan, assuming the secret identity of the Spectre whenever he is needed. </s>"
"en.wikipedia.org","<s> Anything that breaks those rules also breaks God''s law and is therefore evil. </s>"
"en.wikipedia.org","<s> Anything that breaks those rules also breaks God''s law and is therefore evil. </s>"
"en.wikipedia.org","<s> Consequently, as magic breaks the rules of the physical universe, it is an originating source of tremendous evil (this line of logic makes sense to the unstable Spectre). </s>"
"en.wikipedia.org","<s> He finally breaks down in tears stating that nothing in the world troubles him except ""a pair of eyes staring at "" </s>"
"en.wikipedia.org","<s> When Puck puts the love potion on Lysander by mistake, and then on Demetrius, Helena finds herself loved by two men, and confusion breaks out. </s>"
"en.wikipedia.org","<s> A combatant who is a POW, and who is subsequently paroled on the condition that he will not take up arms against the belligerent power (or co-belligerent powers) that had held him as a prisoner, is considered a parole violator if he breaks said condition. </s>"
"en.wikipedia.org","<s> As the American War of Independence breaks out, Barry Lyndon (as he now calls himself) raises a company of soldiers to be sent to America. </s>"
"en.wikipedia.org","<s> Caswell, distraught and desperate, breaks down, pleading for the dead scientist to help him. </s>"
"en.wikipedia.org","<s> Bolie Jackson is a washed-up boxer who accidentally breaks the knuckles of his hand right before his big comeback fight. </s>"
"en.wikipedia.org","<s> In the event of a ""H. pylori"" infection, the bacterial urease enzyme breaks down the urea into ammonia and radioactively-labeled carbon dioxide, which can be detected by low-level counting of the patient''s breath. </s>"
"en.wikipedia.org","<s> Currently, the show breaks in the summer for the Wimbledon Tennis matches held for two weeks, over Christmas and Easter period and for bank holidays. </s>"
"en.wikipedia.org","<s> Government can create the same outcome through selective tax breaks as through cash payment. </s>"
